Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
01/01/2024,Starling Bank,December Interest Earned,DEPOSIT INTEREST,13.59,5740.13,INCOME,
01/01/2024,Pristine Gardenz Ltd,3997,FASTER PAYMENT,-283.50,5456.63,PAYMENTS,
01/01/2024,Curve,CRV*VITL +441249477019,ONLINE PAYMENT,-7.45,5449.18,GROCERIES,
01/01/2024,Curve,CRV*VITL +441249477019,ONLINE PAYMENT,-14.95,5434.23,GROCERIES,
01/01/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-21.70,5412.53,LIFESTYLE,
01/01/2024,Tesco,TESCO STORES 2675,GOOGLE PAY,-124.56,5287.97,GROCERIES,
01/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-11.60,5276.37,EATING_OUT,
01/01/2024,Okaidi France,OKAIDI FRANCE         ,APPLE PAY,-128.36,5148.01,GENERAL,
01/01/2024,Decathlon Angers,DECATHLON ANGERS      ,GOOGLE PAY,-155.16,4992.85,LIFESTYLE,
01/01/2024,Kiwico Inc.,"KiwiCo, Inc.",CARD SUBSCRIPTION,-40.50,4952.35,BILLS_AND_SERVICES,
02/01/2024,Horsham District Council,12873556,DIRECT DEBIT,-329.00,4623.35,TRANSPORT,
02/01/2024,Napo,MW43CMW,DIRECT DEBIT,-59.68,4563.67,GENERAL,
02/01/2024,Nintendo ,Nintendo CB1126142499,ONLINE PAYMENT,-2.36,4561.31,SHOPPING,
02/01/2024,Dunelm Softfurnishings,Dunelm SoftFurnishings,ONLINE PAYMENT,-114.00,4447.31,GENERAL,
02/01/2024,BT,GB26676055,DIRECT DEBIT,-71.05,4376.26,BILLS_AND_SERVICES,
02/01/2024,Bps Re Peoplesfundraising,1698316166225,DIRECT DEBIT,-10.00,4366.26,GENERAL,
02/01/2024,Napo,MW43CMW,DIRECT DEBIT,-60.49,4305.77,GENERAL,
02/01/2024,Napo,MW43CMW,DIRECT DEBIT,-33.75,4272.02,GENERAL,
02/01/2024,Alis Autoroute,ALIS AUTOROUTE,APPLE PAY,-38.30,4233.72,TRANSPORT,
02/01/2024,Burgess Hill School For Girls Com,COU001,DIRECT DEBIT,-854.52,3379.20,NONE,
02/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-30.65,3348.55,EATING_OUT,
02/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-4.25,3344.30,EATING_OUT,
02/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-21.99,3322.31,SHOPPING,
02/01/2024,Fresha Uk,Endless Hair Creations,CARD SUBSCRIPTION,-15.00,3307.31,ENTERTAINMENT,
03/01/2024,Scott Chapman,SQ *SCOTT CHAPMAN,GOOGLE PAY,-9.20,3298.11,TRANSPORT,
03/01/2024,Amazon Eu,Amazon.co.uk*3E04Q2S65,ONLINE PAYMENT,-47.26,3250.85,SHOPPING,
03/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-122.37,3128.48,SHOPPING,
03/01/2024,Sanef,SANEF                 ,GOOGLE PAY,-7.75,3120.73,TRANSPORT,
03/01/2024,Domino's Pizza,Domino s Pizza,APPLE PAY,-40.46,3080.27,EATING_OUT,
03/01/2024,Benjamin Pollock's,SQ *BENJAMIN POLLOCK'S,GOOGLE PAY,-25.00,3055.27,GROCERIES,
03/01/2024,Venchi Uk,Venchi UK,GOOGLE PAY,-5.10,3050.17,GROCERIES,
04/01/2024,La Ballerina,La Ballerina,GOOGLE PAY,-55.97,2994.20,EATING_OUT,
04/01/2024,Twdc Lion King Merchan,TWDC LION KING MERCHAN,GOOGLE PAY,-127.50,2866.70,ENTERTAINMENT,
04/01/2024,Lyceum Theatre,LYCEUM THEATRE,APPLE PAY,-16.90,2849.80,EATING_OUT,
04/01/2024,Boots,BOOTS 2173,GOOGLE PAY,-4.07,2845.73,GENERAL,
04/01/2024,Lyceum Theatre,LYCEUM THEATRE,GOOGLE PAY,-3.90,2841.83,ENTERTAINMENT,
04/01/2024,Lyceum Theatre,LYCEUM THEATRE,APPLE PAY,-6.00,2835.83,ENTERTAINMENT,
04/01/2024,Zara,ZARA COVENT GARDEN,GOOGLE PAY,-33.98,2801.85,SHOPPING,
04/01/2024,Nathan Earl St,Zettle_*Nathan Earl St,GOOGLE PAY,-10.00,2791.85,LIFESTYLE,
04/01/2024,WH Smith,WH Smith Victoria,CONTACTLESS,-2.89,2788.96,SHOPPING,
04/01/2024,Cabvision Network Limi,LICENSED TAXI,GOOGLE PAY,-14.60,2774.36,TRANSPORT,
04/01/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,APPLE PAY,-10.40,2763.96,TRANSPORT,
04/01/2024,TfL,TFL TRAVEL CH,APPLE PAY,-2.70,2761.26,TRANSPORT,
04/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-36.82,2724.44,SHOPPING,
05/01/2024,GoCardless,VBDANCE-M8ZB6MFG35,DIRECT DEBIT,-19.58,2704.86,PAYMENTS,
05/01/2024,Southern Railway,ON TRACK - SOUTHERN RA,CARD SUBSCRIPTION,-17.60,2687.26,TRANSPORT,
05/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-9.99,2677.27,SHOPPING,
05/01/2024,Tesco,TESCO STORES 2163,GOOGLE PAY,-96.68,2580.59,GROCERIES,
05/01/2024,Csc Pcn,CSC PCN,ONLINE PAYMENT,-60.00,2520.59,TRANSPORT,
05/01/2024,Stagecoach Haywards Heath,HAY10/03532,FASTER PAYMENT,-174.00,2346.59,CHILDREN,
06/01/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-5.60,2340.99,LIFESTYLE,
06/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-11.75,2329.24,EATING_OUT,
06/01/2024,Sp Theoddpods,SP THEODDPODS,CARD SUBSCRIPTION,-22.39,2306.85,GROCERIES,
06/01/2024,Starbucks,STARBUCKS HICKSTEAD,GOOGLE PAY,-4.15,2302.70,EATING_OUT,
07/01/2024,Hart Country Li,HART COUNTRY STORES LI,GOOGLE PAY,-3.60,2299.10,GROCERIES,
07/01/2024,Sainsbury's,SAINSBURYS S/MKTS,GOOGLE PAY,-27.97,2271.13,GROCERIES,
07/01/2024,Curve,CRV*APPLE.COM BILL 080,ONLINE PAYMENT,-9.99,2261.14,SHOPPING,
07/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-30.79,2230.35,SHOPPING,
07/01/2024,eBay,eBay O*18-11015-54271,ONLINE PAYMENT,-21.50,2208.85,SHOPPING,
07/01/2024,eBay,eBay O*24-11025-93657,ONLINE PAYMENT,-17.08,2191.77,SHOPPING,
08/01/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-11.25,2180.52,LIFESTYLE,
08/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-14.05,2166.47,EATING_OUT,
08/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-3.65,2162.82,EATING_OUT,
08/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-8.55,2154.27,EATING_OUT,
08/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-17.35,2136.92,EATING_OUT,
08/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-83.96,2052.96,SHOPPING,
08/01/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-124.47,1928.49,GROCERIES,
08/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-84.81,1843.68,SHOPPING,
08/01/2024,The Fold,SQ *THE FOLD,GOOGLE PAY,-3.50,1840.18,EATING_OUT,
09/01/2024,Hawth Gymnastics,HAWTH GYMNASTICS,ONLINE PAYMENT,-35.50,1804.68,SHOPPING,
09/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-84.00,1720.68,BILLS_AND_SERVICES,
09/01/2024,Amazon,amazon.co.uk*RM5E36Y15,ONLINE PAYMENT,-7.85,1712.83,SHOPPING,
09/01/2024,Amazon,amazon.co.uk*8M9GX73X5,ONLINE PAYMENT,-3.99,1708.84,SHOPPING,
09/01/2024,Amazon,AMZNMKTPLACE,ONLINE PAYMENT,-44.99,1663.85,SHOPPING,
09/01/2024,Amazon Eu,Amazon.co.uk*463UO68L5,ONLINE PAYMENT,-38.85,1625.00,SHOPPING,
09/01/2024,Barracudas Activity Ho,BARRACUDAS ACTIVITY HO,ONLINE PAYMENT,-150.99,1474.01,LIFESTYLE,
09/01/2024,Katkin Club,KATKIN CLUB,CARD SUBSCRIPTION,-19.00,1455.01,GENERAL,
09/01/2024,LEES J A,Topup,FASTER PAYMENT,2000.00,3455.01,INCOME,
10/01/2024,Amazon,amazon.co.uk*GU7MD43H5,ONLINE PAYMENT,-7.98,3447.03,SHOPPING,
10/01/2024,Cash Machine,E00853100000000,ATM,-100.00,3347.03,PAYMENTS,
10/01/2024,Macmillan Mighty Hikes Internet,MACMILLAN MIGHTY HIKES,ONLINE PAYMENT,-20.00,3327.03,GENERAL,
10/01/2024,Amazon,AMZNMKTPLACE,ONLINE PAYMENT,-23.47,3303.56,SHOPPING,
10/01/2024,Shell,SHELL CRESSEX,APPLE PAY,-53.14,3250.42,FUEL,
10/01/2024,Five Guys High Wycombe,FIVE GUYS HIGH WYCOMBE,APPLE PAY,-22.85,3227.57,EATING_OUT,
10/01/2024,Coffee Zone Burgess,COFFEE ZONE BURGESS H,GOOGLE PAY,-2.90,3224.67,EATING_OUT,
10/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-16.78,3207.89,SHOPPING,
10/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-7.99,3199.90,SHOPPING,
11/01/2024,Sp Science Museum,SP SCIENCE MUSEUM,ONLINE PAYMENT,-80.00,3119.90,SHOPPING,
11/01/2024,Somerset House Trust,Somerset House Trust,ONLINE PAYMENT,-40.00,3079.90,GENERAL,
11/01/2024,Hamleys St. Pancras,Hamleys St. Pancras,GOOGLE PAY,-17.00,3062.90,SHOPPING,
11/01/2024,Great Ormond Street Ho,Great Ormond Street Ho,GOOGLE PAY,-2.00,3060.90,GENERAL,
11/01/2024,Tesco,TESCO STORES 2163,APPLE PAY,-58.94,3001.96,GROCERIES,
11/01/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-10.40,2991.56,TRANSPORT,
11/01/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-12.99,2978.57,ENTERTAINMENT,
11/01/2024,Pumpkin Cafe,PUMPKIN CAFE,GOOGLE PAY,-3.75,2974.82,GROCERIES,
11/01/2024,TfL,TFL TRAVEL CH,GOOGLE PAY,-5.40,2969.42,TRANSPORT,
11/01/2024,Schoolblazer,SCHOOLBLAZER LTD,ONLINE PAYMENT,-67.99,2901.43,SHOPPING,
12/01/2024,Ups Power Services,UPS POWER SERVICES,ONLINE PAYMENT,-283.13,2618.30,BILLS_AND_SERVICES,
12/01/2024,Boots,BOOTS 1465,GOOGLE PAY,-36.00,2582.30,GENERAL,
12/01/2024,Costa Coffee,COSTA                 ,GOOGLE PAY,-3.80,2578.50,EATING_OUT,
12/01/2024,Co-op Food,CO-OP GROUP FOOD,APPLE PAY,-14.40,2564.10,GROCERIES,
12/01/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-53.78,2510.32,GROCERIES,
12/01/2024,Smol,SMOL LIMITED,CARD SUBSCRIPTION,-5.80,2504.52,SHOPPING,
12/01/2024,Grind,GRIND & CO,CARD SUBSCRIPTION,-13.50,2491.02,EATING_OUT,
12/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-63.00,2428.02,BILLS_AND_SERVICES,
13/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-54.91,2373.11,SHOPPING,
13/01/2024,giffgaff,giffgaff,CARD SUBSCRIPTION,-10.00,2363.11,BILLS_AND_SERVICES,
13/01/2024,Fresha Uk,Endless Hair Creations,CARD SUBSCRIPTION,-127.00,2236.11,ENTERTAINMENT,
13/01/2024,Sumup *rosie S Brews,SumUp  *Rosie s Brews,GOOGLE PAY,-3.00,2233.11,GROCERIES,
13/01/2024,Amazon,AMZNMKTPLACE,ONLINE PAYMENT,-14.94,2218.17,SHOPPING,
13/01/2024,Twinpay,TWINPAY               ,APPLE PAY,-1.00,2217.17,TRANSPORT,
13/01/2024,Greggs,GREGGS PLC,APPLE PAY,-3.70,2213.47,EATING_OUT,
13/01/2024,Burgess Hill,Pets Corner S132,APPLE PAY,-12.99,2200.48,GENERAL,
13/01/2024,Caffè Nero,CAFFE NERO BURGESS HIL,GOOGLE PAY,-3.35,2197.13,EATING_OUT,
14/01/2024,Amazon Eu,Amazon.co.uk*3G6RU06C5,ONLINE PAYMENT,-11.03,2186.10,SHOPPING,
14/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-69.24,2116.86,SHOPPING,
14/01/2024,Smol,SMOL LIMITED,CARD SUBSCRIPTION,-6.30,2110.56,SHOPPING,
14/01/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-10.05,2100.51,GROCERIES,
15/01/2024,Places For People Leisure ,54425808A,DIRECT DEBIT,-79.00,2021.51,GENERAL,
15/01/2024,Bps Re Easy Direct Debits,MND005WZKJFMKN,DIRECT DEBIT,-23.00,1998.51,GENERAL,
15/01/2024,Amazon Eu,Amazon.co.uk*XY2SM0OI5,ONLINE PAYMENT,-62.07,1936.44,SHOPPING,
15/01/2024,Amazon Eu,Amazon.co.uk,ONLINE PAYMENT,38.85,1975.29,SHOPPING,
15/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-65.46,1909.83,SHOPPING,
15/01/2024,giffgaff,giffgaff,CARD SUBSCRIPTION,-20.00,1889.83,BILLS_AND_SERVICES,
15/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-32.80,1857.03,EATING_OUT,
15/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-8.00,1849.03,EATING_OUT,
15/01/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-113.78,1735.25,GROCERIES,
15/01/2024,Co-op Food,CO-OP GROUP FOOD,APPLE PAY,-13.30,1721.95,GROCERIES,
15/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-11.99,1709.96,SHOPPING,
16/01/2024,Amazon Eu,Amazon.co.uk*A68SD97N5,ONLINE PAYMENT,-35.87,1674.09,SHOPPING,
16/01/2024,Amazon,amazon.co.uk*AF1SS4A65,ONLINE PAYMENT,-4.53,1669.56,SHOPPING,
16/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-28.79,1640.77,SHOPPING,
16/01/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-11.25,1629.52,LIFESTYLE,
16/01/2024,Amazon,AMZNMKTPLACE,ONLINE PAYMENT,-17.58,1611.94,SHOPPING,
16/01/2024,Twinpay,TWINPAY               ,APPLE PAY,-1.00,1610.94,TRANSPORT,
16/01/2024,Waitrose,WAITROSE 123,APPLE PAY,-14.97,1595.97,GROCERIES,
16/01/2024,Ultimate Activity,ULTIMATE ACTIVITY,ONLINE PAYMENT,-247.00,1348.97,LIFESTYLE,
17/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-63.00,1285.97,BILLS_AND_SERVICES,
17/01/2024,Miele,Miele Company Limited,ONLINE PAYMENT,-63.10,1222.87,GENERAL,
17/01/2024,McDonald's,MCDONALDS,APPLE PAY,-16.28,1206.59,EATING_OUT,
17/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-42.70,1163.89,SHOPPING,
18/01/2024,Dolphin Ladies Swimming Club,JennieLees,FASTER PAYMENT,-48.00,1115.89,PAYMENTS,
18/01/2024,Waitrose,WAITROSE,GOOGLE PAY,-4.00,1111.89,GROCERIES,
18/01/2024,Amazon Eu,Amazon.co.uk*RV7YO3QI5,ONLINE PAYMENT,-6.99,1104.90,SHOPPING,
19/01/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-8.99,1095.91,ENTERTAINMENT,
20/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-42.00,1053.91,BILLS_AND_SERVICES,
20/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-29.07,1024.84,SHOPPING,
20/01/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-13.35,1011.49,LIFESTYLE,
20/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-3.65,1007.84,EATING_OUT,
20/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-6.85,1000.99,EATING_OUT,
20/01/2024,LEES J A,Payday ish,FASTER PAYMENT,7000.00,8000.99,INCOME,
21/01/2024,Google,GOOGLE *YouTubePremium,ONLINE PAYMENT,-18.16,7982.83,SHOPPING,
21/01/2024,Tom S Food,TOM S FOOD,GOOGLE PAY,-6.40,7976.43,GROCERIES,
21/01/2024,Non-Stop Dogwear,Non-stop dogwear,ONLINE PAYMENT,-68.99,7907.44,GENERAL,
21/01/2024,Butterfly Gardens,SQ *BUTTERFLY GARDENS ,GOOGLE PAY,-5.00,7902.44,GROCERIES,
21/01/2024,Butterfly Gardens,SQ *BUTTERFLY GARDENS ,ONLINE PAYMENT,-14.50,7887.94,GROCERIES,
21/01/2024,Prime Video,Prime Video *6V8L84ZU5,ONLINE PAYMENT,-12.99,7874.95,LIFESTYLE,
21/01/2024,Pizza Express,PIZZA EXPRESS,APPLE PAY,-71.65,7803.30,EATING_OUT,
22/01/2024,Barclays Partner Finance,300 0120 733039747,DIRECT DEBIT,-49.95,7753.35,BILLS_AND_SERVICES,
22/01/2024,Bps Re Easy Direct Debits,MND005WZKJFMKN,DIRECT DEBIT,-23.00,7730.35,GENERAL,
22/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-27.65,7702.70,EATING_OUT,
22/01/2024,Amazon Eu,Amazon.co.uk*Z56535LD5,ONLINE PAYMENT,-4.99,7697.71,SHOPPING,
22/01/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-169.10,7528.61,GROCERIES,
22/01/2024,Battersea Dogs & Cats,CHARITY               ,ONLINE PAYMENT,-37.00,7491.61,GENERAL,
23/01/2024,Pied Piper Activities Hove,PIED PIPER ACTIVITIES,ONLINE PAYMENT,-150.00,7341.61,ENTERTAINMENT,
23/01/2024,Amazon Eu,Amazon.co.uk*ER0RO85I5,ONLINE PAYMENT,-22.49,7319.12,SHOPPING,
23/01/2024,Amazon,AMZNMKTPLACE,ONLINE PAYMENT,-11.89,7307.23,SHOPPING,
23/01/2024,Costa Coffee,COSTA                 ,GOOGLE PAY,-3.80,7303.43,EATING_OUT,
23/01/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-19.04,7284.39,GROCERIES,
23/01/2024,McDonald's,MCDONALDS,APPLE PAY,-16.28,7268.11,EATING_OUT,
23/01/2024,Tails,TAILS.COM,CARD SUBSCRIPTION,-237.51,7030.60,GROCERIES,
24/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-84.00,6946.60,BILLS_AND_SERVICES,
24/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-77.27,6869.33,SHOPPING,
24/01/2024,Nature Nurture Sussex,inv-0438 Onyxia,FASTER PAYMENT,-85.00,6784.33,PAYMENTS,
25/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-7.99,6776.34,SHOPPING,
25/01/2024,Twinpay,TWINPAY               ,APPLE PAY,-1.00,6775.34,TRANSPORT,
25/01/2024,Petite Fairytale Bouti,PETITE FAIRYTALE BOUTI,CARD PAYMENT,-20.00,6755.34,LIFESTYLE,
25/01/2024,Burgess Hill,Pets Corner S132,APPLE PAY,-52.97,6702.37,GENERAL,
25/01/2024,Netflix,Netflix,CARD SUBSCRIPTION,-17.99,6684.38,BILLS_AND_SERVICES,
26/01/2024,Amazon,AMAZON* 204-9751375-82,ONLINE PAYMENT,-59.79,6624.59,SHOPPING,
26/01/2024,Nando's,NANDOS.CO.UK,APPLE PAY,-20.45,6604.14,EATING_OUT,
27/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-42.00,6562.14,BILLS_AND_SERVICES,
27/01/2024,Places Leisure,PLACES LEISURE,CARD PAYMENT,-3.00,6559.14,LIFESTYLE,
27/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-12.00,6547.14,LIFESTYLE,
27/01/2024,Amazon,AMAZON* 204-4997801-52,ONLINE PAYMENT,-37.98,6509.16,SHOPPING,
27/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-4.05,6505.11,EATING_OUT,
27/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-12.50,6492.61,EATING_OUT,
27/01/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-6.60,6486.01,EATING_OUT,
28/01/2024,Tom S Food,TOM S FOOD,APPLE PAY,-18.70,6467.31,GROCERIES,
28/01/2024,Tom S Food,TOM S FOOD,GOOGLE PAY,-3.50,6463.81,GROCERIES,
28/01/2024,Toy Barnhaus Horsham,Toy Barnhaus Horsham,APPLE PAY,-19.98,6443.83,SHOPPING,
28/01/2024,Sumup *jack And Jakes,SumUp  *Jack and Jakes,GOOGLE PAY,-13.00,6430.83,SHOPPING,
28/01/2024,Next,JOJO  NEXT TP,ONLINE PAYMENT,-17.00,6413.83,SHOPPING,
28/01/2024,Smiggle,SMIGGLE,GOOGLE PAY,-34.20,6379.63,BILLS_AND_SERVICES,
28/01/2024,Jojo - Horsham,JOJO - HORSHAM,GOOGLE PAY,-30.00,6349.63,SHOPPING,
28/01/2024,Boots,"BOOTS,HORSHAM",GOOGLE PAY,-87.49,6262.14,GENERAL,
28/01/2024,Waterstones,WATERSTONES,GOOGLE PAY,-18.98,6243.16,LIFESTYLE,
28/01/2024,Cards Direct Horsham,CARDS DIRECT HORSHAM  ,GOOGLE PAY,-4.27,6238.89,GENERAL,
28/01/2024,Bon Vivant,Zettle_*BON VIVANT LTD,APPLE PAY,-12.70,6226.19,EATING_OUT,
28/01/2024,Sports Direct,SPORTSDIRECT 444,APPLE PAY,-7.50,6218.69,SHOPPING,
28/01/2024,Marks & Spencer,MARKS&SPENCER PLC,GOOGLE PAY,-29.50,6189.19,GROCERIES,
28/01/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-21.99,6167.20,SHOPPING,
28/01/2024,Fun Pots,FUN POTS LTD,ONLINE PAYMENT,-15.00,6152.20,GENERAL,
28/01/2024,Four Seasons Fuel Ltd,Coura001,FASTER PAYMENT,-422.24,5729.96,PAYMENTS,
29/01/2024,Octopus Energy,A-E501D93A-002,DIRECT DEBIT,-570.96,5159.00,BILLS_AND_SERVICES,
29/01/2024,BT,GB26676055,DIRECT DEBIT,-71.05,5087.95,BILLS_AND_SERVICES,
29/01/2024,Leonardslee Lake & Gar,Leonardslee Lake & Gar,GOOGLE PAY,-3.00,5084.95,EATING_OUT,
29/01/2024,Amazon Eu,Amazon.co.uk*MX7JQ5E75,ONLINE PAYMENT,-80.00,5004.95,SHOPPING,
29/01/2024,The Triangle,THE TRIANGLE,APPLE PAY,-21.40,4983.55,EATING_OUT,
29/01/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-186.94,4796.61,GROCERIES,
29/01/2024,Channel 4,CHANNEL 4,CARD SUBSCRIPTION,-3.99,4792.62,BILLS_AND_SERVICES,
29/01/2024,Fun Pots,FUN POTS LTD,APPLE PAY,-96.90,4695.72,LIFESTYLE,
30/01/2024,Smol,SMOL LIMITED,CARD SUBSCRIPTION,-5.80,4689.92,SHOPPING,
30/01/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-42.00,4647.92,BILLS_AND_SERVICES,
31/01/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-8.99,4638.93,ENTERTAINMENT,
31/01/2024,Costa Coffee,COSTA                 ,GOOGLE PAY,-3.80,4635.13,EATING_OUT,
31/01/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-25.11,4610.02,GROCERIES,
31/01/2024,LEES J A,Topup,FASTER PAYMENT,2000.00,6610.02,INCOME,
01/02/2024,Starling Bank,January Interest Earned,DEPOSIT INTEREST,9.16,6619.18,INCOME,
01/02/2024,Napo,MW43CMW,DIRECT DEBIT,-33.75,6585.43,GENERAL,
01/02/2024,Railway Garage,RAILWAY GARAGE LTD    ,APPLE PAY,-125.96,6459.47,GENERAL,
01/02/2024,Pristine Gardenz Ltd,3997,FASTER PAYMENT,-283.50,6175.97,PAYMENTS,
01/02/2024,Amazon,AMAZON* 204-8194658-98,ONLINE PAYMENT,-8.54,6167.43,SHOPPING,
01/02/2024,Amazon,AMAZON* 204-9567794-60,ONLINE PAYMENT,-19.89,6147.54,SHOPPING,
01/02/2024,Amazon Marketplace,AMZNMktplace,ONLINE PAYMENT,-9.99,6137.55,SHOPPING,
01/02/2024,Horsham District Council,12873556,DIRECT DEBIT,-329.00,5808.55,TRANSPORT,
01/02/2024,PQA Academy,HAYW353036,DIRECT DEBIT,-69.00,5739.55,GENERAL,
01/02/2024,Napo,MW43CMW,DIRECT DEBIT,-60.49,5679.06,GENERAL,
01/02/2024,Napo,MW43CMW,DIRECT DEBIT,-59.68,5619.38,GENERAL,
01/02/2024,Bps Re Peoplesfundraising,1698316166225,DIRECT DEBIT,-10.00,5609.38,GENERAL,
01/02/2024,Burgess Hill School For Girls Com,COU001,DIRECT DEBIT,-854.24,4755.14,NONE,
01/02/2024,Martin Butler,January ,FASTER PAYMENT,-308.00,4447.14,PETS,
01/02/2024,Kiwico Inc.,"KiwiCo, Inc.",CARD SUBSCRIPTION,-40.61,4406.53,BILLS_AND_SERVICES,
01/02/2024,Amazon,AMAZON* 204-0230276-65,ONLINE PAYMENT,-24.83,4381.70,SHOPPING,
02/02/2024,Amazon,amazon.co.uk*1L6WB9P95,ONLINE PAYMENT,-0.99,4380.71,SHOPPING,
02/02/2024,Sumup *kyros Project,SumUp  *Kyros Project,GOOGLE PAY,-80.00,4300.71,ENTERTAINMENT,
02/02/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-8.35,4292.36,LIFESTYLE,
02/02/2024,Coffee Zone Burgess,Coffee Zone Burgess H,GOOGLE PAY,-5.10,4287.26,EATING_OUT,
03/02/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-3.65,4283.61,EATING_OUT,
03/02/2024,The Triangle,THE TRIANGLE,APPLE PAY,-13.60,4270.01,EATING_OUT,
03/02/2024,Latchetts,SQ *LATCHETTS,APPLE PAY,-10.10,4259.91,EATING_OUT,
03/02/2024,Latchetts,SQ *LATCHETTS,GOOGLE PAY,-5.75,4254.16,EATING_OUT,
03/02/2024,Doves Playbarn,SQ *DOVES PLAYBARN,GOOGLE PAY,-1.50,4252.66,LIFESTYLE,
03/02/2024,Doves Playbarn,SQ *DOVES PLAYBARN,GOOGLE PAY,-1.40,4251.26,LIFESTYLE,
04/02/2024,Bp Chargemaster,BP CHARGEMASTER,ONLINE PAYMENT,-5.00,4246.26,GENERAL,
04/02/2024,Starbucks,STARBUCKS,GOOGLE PAY,-4.25,4242.01,EATING_OUT,
04/02/2024,Starbucks,STARBUCKS,APPLE PAY,-13.05,4228.96,EATING_OUT,
04/02/2024,Amazon,AMAZON* 204-6560965-20,ONLINE PAYMENT,-24.99,4203.97,SHOPPING,
04/02/2024,Capitol Theatre,CAPITOL THEATRE,GOOGLE PAY,-3.50,4200.47,BILLS_AND_SERVICES,
05/02/2024,GoCardless,VBDANCE-M8ZB6MFG35,DIRECT DEBIT,-19.58,4180.89,PAYMENTS,
